StudentID,Avg_Percent,Letter Grade,GPA Points,Course Number,Course Name,EarnedCrHrs,PotentialCrHrs,Grade_Level,CreditType,StoreCode,TermID
9216808855,100.0,,0,PE8,Phys Ed 8th,0.5,0.5,8,PE,Y1,3300
9274839586,98.0,,0,PE8,Phys Ed 8th,0.5,0.5,8,PE,Y1,3300
9285001321,98.0,,0,PE8,Phys Ed 8th,0.5,0.5,8,PE,Y1,3300
9316691024,97.0,,0,PE8,Phys Ed 8th,0.5,0.5,8,PE,Y1,3300
9375489652,98.0,,0,PE8,Phys Ed 8th,0.5,0.5,8,PE,Y1,3300
9425661596,96.0,,0,PE8,Phys Ed 8th,0.5,0.5,8,PE,Y1,3300
9442967898,94.0,,0,PE8,Phys Ed 8th,0.5,0.5,8,PE,Y1,3300
9562037760,100.0,,0,PE8,Phys Ed 8th,0.5,0.5,8,PE,Y1,3300
9703034256,97.0,,0,PE8,Phys Ed 8th,0.5,0.5,8,PE,Y1,3300
9796750558,95.0,,0,PE8,Phys Ed 8th,0.5,0.5,8,PE,Y1,3300
9958476114,100.0,,0,PE8,Phys Ed 8th,0.5,0.5,8,PE,Y1,3300
9960074389,92.0,,0,PE8,Phys Ed 8th,0.5,0.5,8,PE,Y1,3300
